version,image,request,response,response_hex,value,handler_pc,formatter_pc,handler_seen,formatter_seen,steps,reads,writes,watchpoint_changes,net_changes,error
2.70,Bixby_0270_070206.hex,CR05,CR0500\x0A,43 52 30 35 30 30 0A,0x00,0x129A,0x1352,yes,yes,764,2,2,2,4,
2.70,Bixby_0270_070206.hex,CR06,CR0603\x0A,43 52 30 36 30 33 0A,0x03,0x129E,0x1352,yes,yes,775,12,10,10,5,
2.70,Bixby_0270_070206.hex,CR07,CR0751\x0A,43 52 30 37 35 31 0A,0x51,0x12B2,0x1352,yes,yes,774,10,10,14,7,
2.70,Bixby_0270_070206.hex,CR08,CR0807\x0A,43 52 30 38 30 37 0A,0x07,0x12C0,0x1352,yes,yes,764,1,2,2,5,
2.70,Bixby_0270_070206.hex,CR09,CR0900\x0A,43 52 30 39 30 30 0A,0x00,0x12C4,0x1352,yes,yes,764,2,2,2,4,
2.70,Bixby_0270_070206.hex,CR0A,CR0a00\x0A,43 52 30 61 30 30 0A,0x00,0x12C8,0x1352,yes,yes,768,2,2,2,4,
2.70,Bixby_0270_070206.hex,CR0B,CR0b02\x0A,43 52 30 62 30 32 0A,0x02,0x12CC,0x1352,yes,yes,768,1,2,2,5,
2.70,Bixby_0270_070206.hex,CR0C,CR0c70\x0A,43 52 30 63 37 30 0A,0x70,0x12D0,0x1352,yes,yes,768,1,2,2,5,
2.70,Bixby_0270_070206.hex,CR0D,CR0d00\x0A,43 52 30 64 30 30 0A,0x00,0x12D4,0x1352,yes,yes,767,1,2,2,4,
2.70,Bixby_0270_070206.hex,CR0E,CR0e02\x0A,43 52 30 65 30 32 0A,0x02,0x12D7,0x1352,yes,yes,768,1,2,2,5,
2.71,Bixby_0271_080315.hex,CR00,CR0000\x0A,43 52 30 30 30 30 0A,0x00,0x1222,0x132F,yes,yes,763,1,2,2,4,
2.71,Bixby_0271_080315.hex,CR01,CR0100\x0A,43 52 30 31 30 30 0A,0x00,0x1225,0x132F,yes,yes,764,2,2,2,4,
2.71,Bixby_0271_080315.hex,CR02,CR0200\x0A,43 52 30 32 30 30 0A,0x00,0x1229,0x132F,yes,yes,806,29,18,14,6,
2.71,Bixby_0271_080315.hex,CR03,CR0308\x0A,43 52 30 33 30 38 0A,0x08,0x125B,0x132F,yes,yes,775,10,7,7,5,
2.71,Bixby_0271_080315.hex,CR04,CR0441\x0A,43 52 30 34 34 31 0A,0x41,0x1274,0x132F,yes,yes,764,2,2,2,5,
2.71,Bixby_0271_080315.hex,CR05,CR0500\x0A,43 52 30 35 30 30 0A,0x00,0x1278,0x132F,yes,yes,764,2,2,2,4,
2.71,Bixby_0271_080315.hex,CR06,CR0603\x0A,43 52 30 36 30 33 0A,0x03,0x127C,0x132F,yes,yes,775,12,10,10,5,
2.71,Bixby_0271_080315.hex,CR07,CR0751\x0A,43 52 30 37 35 31 0A,0x51,0x1290,0x132F,yes,yes,774,10,10,14,7,
2.71,Bixby_0271_080315.hex,CR08,CR0807\x0A,43 52 30 38 30 37 0A,0x07,0x129E,0x132F,yes,yes,764,1,2,2,5,
2.71,Bixby_0271_080315.hex,CR09,CR0900\x0A,43 52 30 39 30 30 0A,0x00,0x12A2,0x132F,yes,yes,764,2,2,2,4,
2.71,Bixby_0271_080315.hex,CR0A,CR0a00\x0A,43 52 30 61 30 30 0A,0x00,0x12A6,0x132F,yes,yes,768,2,2,2,4,
2.71,Bixby_0271_080315.hex,CR0B,CR0b02\x0A,43 52 30 62 30 32 0A,0x02,0x12AA,0x132F,yes,yes,768,1,2,2,5,
2.71,Bixby_0271_080315.hex,CR0C,CR0c71\x0A,43 52 30 63 37 31 0A,0x71,0x12AE,0x132F,yes,yes,768,1,2,2,5,
2.71,Bixby_0271_080315.hex,CR0D,CR0d00\x0A,43 52 30 64 30 30 0A,0x00,0x12B2,0x132F,yes,yes,767,1,2,2,4,
2.71,Bixby_0271_080315.hex,CR0E,CR0e00\x0A,43 52 30 65 30 30 0A,0x00,0x12B5,0x132F,yes,yes,767,1,2,2,4,
