version,request,address,name,before,after,changed_bits,volatile
2.70,CR0E,0x0CB,RAM_0x0CB,0x00,0x02,1,no
2.71,CR00,0x001,TMR0,0xA6,0xAA,"2,3",yes
2.71,CR00,0x003,STATUS,0x18,0x3C,"2,5",no
2.71,CR00,0x00E,TMR1L,0xEC,0xF0,"2,3,4",yes
2.71,CR00,0x011,TMR2,0xCC,0xD0,"2,3,4",yes
2.71,CR01,0x001,TMR0,0xA6,0xAB,"0,2,3",yes
2.71,CR01,0x003,STATUS,0x18,0x3C,"2,5",no
2.71,CR01,0x00E,TMR1L,0xEC,0xF1,"0,2,3,4",yes
2.71,CR01,0x011,TMR2,0xCC,0xD1,"0,2,3,4",yes
2.71,CR02,0x001,TMR0,0xA6,0xD5,"0,1,4,5,6",yes
2.71,CR02,0x003,STATUS,0x18,0x3C,"2,5",no
2.71,CR02,0x008,PORTD,0x04,0xC4,"6,7",no
2.71,CR02,0x00E,TMR1L,0xEC,0x1B,"0,1,2,4,5,6,7",yes
2.71,CR02,0x00F,TMR1H,0xD1,0xD2,"0,1",yes
2.71,CR02,0x011,TMR2,0xCC,0xFB,"0,1,2,4,5",yes
2.71,CR03,0x001,TMR0,0xA6,0xB6,4,yes
2.71,CR03,0x003,STATUS,0x18,0x3C,"2,5",no
2.71,CR03,0x00E,TMR1L,0xEC,0xFC,4,yes
2.71,CR03,0x011,TMR2,0xCC,0xDC,4,yes
2.71,CR03,0x0CB,RAM_0x0CB,0x00,0x08,3,no
2.71,CR04,0x001,TMR0,0xA6,0xAB,"0,2,3",yes
2.71,CR04,0x003,STATUS,0x18,0x38,5,no
2.71,CR04,0x00E,TMR1L,0xEC,0xF1,"0,2,3,4",yes
2.71,CR04,0x011,TMR2,0xCC,0xD1,"0,2,3,4",yes
2.71,CR04,0x0CB,RAM_0x0CB,0x00,0x41,"0,6",no
2.71,CR05,0x001,TMR0,0xA6,0xAB,"0,2,3",yes
2.71,CR05,0x003,STATUS,0x18,0x3C,"2,5",no
2.71,CR05,0x00E,TMR1L,0xEC,0xF1,"0,2,3,4",yes
2.71,CR05,0x011,TMR2,0xCC,0xD1,"0,2,3,4",yes
2.71,CR06,0x001,TMR0,0xA6,0xB6,4,yes
2.71,CR06,0x003,STATUS,0x18,0x3C,"2,5",no
2.71,CR06,0x00E,TMR1L,0xEC,0xFC,4,yes
2.71,CR06,0x011,TMR2,0xCC,0xDC,4,yes
2.71,CR06,0x0CB,RAM_0x0CB,0x00,0x03,"0,1",no
2.71,CR07,0x001,TMR0,0xA6,0xB5,"0,1,4",yes
2.71,CR07,0x003,STATUS,0x18,0x38,5,no
2.71,CR07,0x00E,TMR1L,0xEC,0xFB,"0,1,2,4",yes
2.71,CR07,0x011,TMR2,0xCC,0xDB,"0,1,2,4",yes
2.71,CR07,0x079,RAM_0x079,0x24,0x51,"0,2,4,5,6",no
2.71,CR07,0x07A,RAM_0x07A,0x00,0x80,7,no
2.71,CR07,0x0CB,RAM_0x0CB,0x00,0x51,"0,4,6",no
2.71,CR08,0x001,TMR0,0xA6,0xAB,"0,2,3",yes
2.71,CR08,0x003,STATUS,0x18,0x38,5,no
2.71,CR08,0x00E,TMR1L,0xEC,0xF1,"0,2,3,4",yes
2.71,CR08,0x011,TMR2,0xCC,0xD1,"0,2,3,4",yes
2.71,CR08,0x0CB,RAM_0x0CB,0x00,0x07,"0,1,2",no
2.71,CR09,0x001,TMR0,0xA6,0xAB,"0,2,3",yes
2.71,CR09,0x003,STATUS,0x18,0x3C,"2,5",no
