version,channel,input_10bit,sample_events_during_boot,boot_steps,changed_registers,changed_count,baseline_errors,stimulus_errors
2.06,AN5,0x100,0,250000,,0,,
2.06,AN5,0x200,0,250000,,0,,
2.06,AN5,0x300,0,250000,,0,,
2.06,AN5,0x3FF,0,250000,,0,,
2.06,AN6,0x100,0,250000,,0,,
2.06,AN6,0x200,0,250000,,0,,
2.06,AN6,0x300,0,250000,,0,,
2.06,AN6,0x3FF,0,250000,,0,,
2.06,AN7,0x100,0,250000,,0,,
2.06,AN7,0x200,0,250000,,0,,
2.06,AN7,0x300,0,250000,,0,,
2.06,AN7,0x3FF,0,250000,,0,,
2.70,AN0,0x100,0,250000,,0,,
2.70,AN0,0x200,0,250000,,0,,
2.70,AN0,0x300,0,250000,,0,,
2.70,AN0,0x3FF,0,250000,,0,,
2.70,AN1,0x100,1,250000,,0,,
2.70,AN1,0x200,1,250000,,0,,
2.70,AN1,0x300,1,250000,,0,,
2.70,AN1,0x3FF,1,250000,,0,,
2.70,AN2,0x100,1,250000,,0,,
2.70,AN2,0x200,1,250000,,0,,
2.70,AN2,0x300,1,250000,,0,,
2.70,AN2,0x3FF,1,250000,,0,,
2.70,AN3,0x100,1,250000,CR09,1,,
2.70,AN3,0x200,1,250000,CR09,1,,
2.70,AN3,0x300,1,250000,CR09,1,,
2.70,AN3,0x3FF,1,250000,CR09,1,,
2.70,AN4,0x100,1,250000,CR0A,1,,
2.70,AN4,0x200,1,250000,CR0A,1,,
2.70,AN4,0x300,1,250000,CR0A,1,,
2.70,AN4,0x3FF,1,250000,CR0A,1,,
2.70,AN5,0x100,0,250000,,0,,
2.70,AN5,0x200,0,250000,,0,,
2.70,AN5,0x300,0,250000,,0,,
2.70,AN5,0x3FF,0,250000,,0,,
2.70,AN6,0x100,0,250000,,0,,
2.70,AN6,0x200,0,250000,,0,,
2.70,AN6,0x300,0,250000,,0,,
2.70,AN6,0x3FF,0,250000,,0,,
2.70,AN7,0x100,0,250000,,0,,
2.70,AN7,0x200,0,250000,,0,,
2.70,AN7,0x300,0,250000,,0,,
2.70,AN7,0x3FF,0,250000,,0,,
2.71,AN0,0x100,0,250000,,0,,
2.71,AN0,0x200,0,250000,,0,,
2.71,AN0,0x300,0,250000,,0,,
2.71,AN0,0x3FF,0,250000,,0,,
2.71,AN1,0x100,1,250000,,0,,
2.71,AN1,0x200,1,250000,,0,,
2.71,AN1,0x300,1,250000,,0,,
2.71,AN1,0x3FF,1,250000,,0,,
2.71,AN2,0x100,1,250000,,0,,
2.71,AN2,0x200,1,250000,,0,,
2.71,AN2,0x300,1,250000,,0,,
2.71,AN2,0x3FF,1,250000,,0,,
2.71,AN3,0x100,1,250000,CR09,1,,
2.71,AN3,0x200,1,250000,CR09,1,,
2.71,AN3,0x300,1,250000,CR09,1,,
2.71,AN3,0x3FF,1,250000,CR09,1,,
2.71,AN4,0x100,1,250000,CR0A,1,,
2.71,AN4,0x200,1,250000,CR0A,1,,
2.71,AN4,0x300,1,250000,CR0A,1,,
2.71,AN4,0x3FF,1,250000,CR0A,1,,
2.71,AN5,0x100,0,250000,,0,,
2.71,AN5,0x200,0,250000,,0,,
2.71,AN5,0x300,0,250000,,0,,
2.71,AN5,0x3FF,0,250000,,0,,
2.71,AN6,0x100,0,250000,,0,,
2.71,AN6,0x200,0,250000,,0,,
2.71,AN6,0x300,0,250000,,0,,
2.71,AN6,0x3FF,0,250000,,0,,
2.71,AN7,0x100,0,250000,,0,,
2.71,AN7,0x200,0,250000,,0,,
2.71,AN7,0x300,0,250000,,0,,
2.71,AN7,0x3FF,0,250000,,0,,
