version,request,address,name,via,count,before_values,after_values,pcs
2.06,CW0500,0x003,STATUS,alu-flag,8842,0x00 0x04 0x18 0x19 0x1A 0x1B 0x1C 0x1D 0x1E 0x1F 0x38 0x39 0x3A 0x3B 0x3C 0x3D 0x3E 0x3F,0x00 0x04 0x18 0x19 0x1A 0x1B 0x1C 0x1D 0x1E 0x1F 0x38 0x39 0x3A 0x3B 0x3C 0x3D 0x3E 0x3F,0x0006 0x0008 0x000A 0x000B 0x000D 0x000F 0x0011 0x0013 0x0029 0x002B 0x002D 0x002F 0x0031 0x0035 0x01C2 0x01C3 0x01C7 0x01CF 0x01D1 0x01D4 0x0417 0x041E 0x0421 0x0422 0x0424 0x0425 0x042A 0x042B 0x042E 0x042F 0x0430 0x0432 0x0433 0x0438 0x043A 0x043C 0x043D 0x043E 0x043F 0x0448 0x067B 0x0686 0x0687 0x068E 0x068F 0x069C 0x06A3 0x06A7 0x06BF 0x06C9 0x06D0 0x06D7 0x0800 0x0809 0x0819 0x0830 0x0832 0x0862 0x0864 0x0EE4 0x0EEC 0x0EF1 0x0EF3
2.06,CW0500,0x003,STATUS,direct,2426,0x00 0x18 0x19 0x1B 0x1C 0x1D 0x1F 0x38 0x39 0x3A 0x3B 0x3C 0x3D 0x3F,0x00 0x18 0x19 0x1B 0x1C 0x1D 0x1F 0x38 0x3A 0x3B 0x3C 0x3D 0x3E 0x3F,0x0006 0x0038 0x01D0 0x0416 0x043B 0x0447 0x044F 0x0676 0x067E 0x0681 0x0685 0x0688 0x0691 0x0694 0x069F 0x06A2 0x06AC 0x06B2 0x06B4 0x06B6 0x06B8 0x06E9 0x06EB 0x06ED 0x06EF 0x06F4 0x06FA 0x0801 0x0803 0x0863 0x0875 0x0EDD 0x0EDF 0x0EE1 0x0EE3 0x0EE5 0x0EE9 0x0EEB 0x0EF2 0x0EF8 0x0EF9 0x0EFB 0x0F1B 0x0F1D
2.06,CW0500,0x004,FSR,direct,384,0x8C 0xA8,0x8C 0xA8,0x001E 0x002A
2.06,CW0500,0x007,PORTC,direct,2868,0x20 0x24,0x20 0x24,0x01CC 0x01CD
2.06,CW0500,0x008,PORTD,direct,1434,0x04 0x24 0x44 0x64 0x84 0xA4 0xC4 0xE4,0x04 0x24 0x44 0x64 0x84 0xA4 0xC4 0xE4,0x01CF
2.06,CW0500,0x00A,PCLATH,direct,747,0x00 0x02 0x0A 0x12,0x00 0x02 0x0A,0x000A 0x0036 0x085F 0x0861 0x0F17 0x0F19 0x108E 0x108F
2.06,CW0500,0x00B,INTCON,direct,542,0x14 0x94 0xD4,0x14 0x94 0xD4,0x01BD 0x01BE 0x01D4 0x06F0 0x06F1 0x06FB
2.06,CW0500,0x00C,PIR1,direct,192,0x5B,0x59,0x01B6
2.06,CW0500,0x020,RAM_0x020,direct,16,0x02 0x08 0x0A,0x02 0x0A,0x0009
2.06,CW0500,0x021,RAM_0x021,direct,58,0x81 0x83 0x91 0xA3 0xB1 0xB3 0xC1 0xC3 0xD1 0xD3 0xF1 0xF3,0x81 0x83 0x91 0xA3 0xB1 0xB3 0xC1 0xC3 0xD1 0xD3 0xF1 0xF3,0x0007
2.06,CW0500,0x023,RAM_0x023,direct,2,0x00 0x04,0x00 0x04,0x000E
2.06,CW0500,0x024,RAM_0x024,direct,4,0x00 0x30 0x59 0x9E,0x00 0x2C 0x59 0x9E,0x0010
2.06,CW0500,0x025,RAM_0x025,direct,3,0x08 0x10 0x24,0x08 0x10 0x24,0x0012
