version,request,action,address,name,via,count,values,pcs
2.02,CW0100,read,0x0C3,RAM_0x0C3,direct,314,0x00 0x03 0x04 0x05 0x06 0x07 0x08 0x09 0x0A 0x0E 0x10 0x11 0x14 0x15 0x17 0x1C 0x20 0x23 0x24 0x25 0x26 0x28 0x29 0x2A 0x2B 0x2E 0x31 0x32 0x33 0x35 0x36 0x38 0x39 0x3A 0x3B 0x3D 0x3E 0x40 0x41 0x43 0x45 0x46 0x48 0x4A 0x4C 0x4D 0x4E 0x52 0x53 0x56 0x57 0x58 0x59 0x5A 0x5B 0x5C 0x60 0x61 0x62 0x63 0x64 0x65 0x66 0x68 0x6A 0x6B 0x6C 0x6E 0x6F 0x72 0x73 0x74 0x75 0x76 0x7A 0x7B 0x7C 0x7D 0x7E 0x80 0x82 0x83 0x84 0x86 0x87 0x88 0x8A 0x8B 0x8C 0x8E 0x90 0x92 0x94 0x97 0x9A 0x9C 0x9D 0xA0 0xA1 0xA2 0xA3 0xA5 0xA6 0xA9 0xAA 0xAC 0xAD 0xAE 0xAF 0xB3 0xB4 0xB5 0xB7 0xB8 0xB9 0xBE 0xBF 0xC0 0xC1 0xC2 0xC3 0xC4 0xC6 0xC7 0xCC 0xCD 0xCE 0xCF 0xD0 0xD1 0xD2 0xD3 0xD5 0xD7 0xD8 0xD9 0xDA 0xDC 0xDE 0xDF 0xE2 0xE3 0xE6 0xE7 0xE8 0xE9 0xEA 0xEC 0xEF 0xF3 0xF4 0xF5 0xFA 0xFB,0x08C2 0x08C9 0x08CC 0x08ED 0x10CB
2.02,CW0100,read,0x0C4,RAM_0x0C4,direct,253,0x00 0x01 0x02 0x04 0x05 0x06 0x08 0x09 0x0A 0x0C 0x0D 0x12 0x15 0x16 0x17 0x18 0x1A 0x1B 0x1C 0x1F 0x20 0x24 0x25 0x29 0x2A 0x2E 0x2F 0x30 0x31 0x32 0x35 0x38 0x3A 0x3B 0x3F 0x40 0x41 0x42 0x4A 0x4B 0x4C 0x52 0x55 0x56 0x59 0x5A 0x5B 0x5C 0x5E 0x61 0x62 0x63 0x64 0x65 0x66 0x67 0x6A 0x6B 0x6C 0x6F 0x71 0x75 0x76 0x77 0x7A 0x80 0x83 0x84 0x86 0x8A 0x8B 0x8F 0x90 0x94 0x97 0x98 0x9C 0x9D 0xA5 0xAA 0xAB 0xAC 0xAD 0xAE 0xB1 0xB3 0xB4 0xB5 0xB7 0xB9 0xBA 0xBC 0xBD 0xC0 0xC1 0xC2 0xC3 0xC4 0xC5 0xC7 0xCA 0xCB 0xCE 0xD5 0xD6 0xD7 0xD8 0xD9 0xDA 0xDE 0xDF 0xE0 0xE3 0xEA 0xEB 0xEC 0xEE 0xEF 0xF5 0xF6,0x08C4 0x08C6 0x08CA 0x08DF 0x10AB
2.02,CW0100,read,0x0CE,RAM_0x0CE,direct,313,0x02 0x03 0x04 0x05 0x06 0x07 0x08 0x09 0x0A 0x0B 0x0C 0x0D 0x0E 0x0F 0x10 0x11 0x12 0x13 0x14 0x15 0x16 0x17 0x18 0x19 0x1A 0x1B 0x1C 0x1D 0x1E 0x1F 0x20 0x21 0x22 0x23 0x24 0x25 0x26 0x27 0x28 0x29 0x2A 0x2B 0x2C 0x2D 0x2E 0x2F 0x30 0x31 0x32 0x33 0x34 0x35 0x36 0x37 0x38 0x39 0x3A 0x3B 0x3C 0x3D 0x3E 0x3F 0x40 0x41 0x42 0x43 0x44 0x45 0x46 0x47 0x48 0x49 0x4A 0x4B 0x4C 0x4D 0x4E 0x4F 0x50 0x51 0x52 0x53 0x54 0x55 0x56 0x57 0x58 0x59 0x5A 0x5B 0x5C 0x5D 0x5E 0x5F 0x60 0x61 0x62 0x63 0x64 0x65 0x66 0x67 0x68 0x69 0x6A,0x08B5 0x08BA 0x08CF
2.02,CW0100,read,0x0CF,RAM_0x0CF,direct,151,0x00 0x01,0x08C7 0x08CB
2.02,CW0100,read,0x0D1,RAM_0x0D1,direct,107,0x00 0x01 0x02 0x03 0x04 0x05 0x06 0x07 0x08 0x09 0x0A 0x0B 0x0C 0x0D 0x0E 0x0F 0x10 0x11 0x12 0x13 0x14 0x15 0x16 0x17 0x18 0x19 0x1A 0x1B 0x1C 0x1D 0x1E 0x1F 0x20 0x21 0x22 0x23 0x24 0x25 0x26 0x27 0x28 0x29 0x2A 0x2B 0x2C 0x2D 0x2E 0x2F 0x30 0x31 0x32 0x33 0x34 0x35 0x36 0x37 0x38 0x39 0x3A 0x3B 0x3C 0x3D 0x3E 0x3F 0x40 0x41 0x42 0x43 0x44 0x45 0x46 0x47 0x48 0x49 0x4A 0x4B 0x4C 0x4D 0x4E 0x4F 0x50 0x51 0x52 0x53 0x54 0x55 0x56 0x57 0x58 0x59 0x5A 0x5B 0x5C 0x5D 0x5E 0x5F 0x60 0x61 0x62 0x63 0x64 0x65 0x66 0x67 0x68 0x69,0x07DB
2.02,CW0100,read,0x0D2,RAM_0x0D2,direct,107,0x00 0x03 0x04 0x06 0x09 0x0C 0x0F 0x12 0x15 0x18 0x20 0x22 0x25 0x28 0x2B 0x2D 0x2E 0x30 0x31 0x32 0x34 0x37 0x3A 0x3D 0x41 0x42 0x45 0x46 0x47 0x49 0x4A 0x4C 0x4D 0x4E 0x4F 0x50 0x52 0x53 0x55 0x56 0x58 0x59 0x5C 0x5F 0x62 0x69 0x6C 0x6F 0x72 0x75 0x78 0x7B 0x7E 0x81 0x84 0x87 0x8E 0x91 0x94 0x97 0x9A 0x9D 0xA0 0xA3 0xA6 0xA9 0xB3 0xB5 0xB6 0xB9 0xBC 0xBF 0xC2 0xC5 0xC8 0xCB 0xCE 0xD8 0xDB 0xDE 0xE1 0xE4 0xE7 0xEA 0xED 0xF0 0xF3 0xFD,0x07E7
2.02,CW0100,read,0x10C,EEDATA,direct,107,0x00 0x03 0x04 0x06 0x09 0x0C 0x0F 0x12 0x15 0x18 0x20 0x22 0x25 0x28 0x2B 0x2D 0x2E 0x30 0x31 0x32 0x34 0x37 0x3A 0x3D 0x41 0x42 0x45 0x46 0x47 0x49 0x4A 0x4C 0x4D 0x4E 0x4F 0x50 0x52 0x53 0x55 0x56 0x58 0x59 0x5C 0x5F 0x62 0x69 0x6C 0x6F 0x72 0x75 0x78 0x7B 0x7E 0x81 0x84 0x87 0x8E 0x91 0x94 0x97 0x9A 0x9D 0xA0 0xA3 0xA6 0xA9 0xB3 0xB5 0xB6 0xB9 0xBC 0xBF 0xC2 0xC5 0xC8 0xCB 0xCE 0xD8 0xDB 0xDE 0xE1 0xE4 0xE7 0xEA 0xED 0xF0 0xF3 0xFD,0x07E3
2.02,CW0100,read,0x18C,EECON1,direct,224,0x00 0x04,0x07E0 0x07E1 0x10B0 0x10B1 0x10BD 0x10BE 0x10C0 0x10D0 0x10D1 0x10DD 0x10DE 0x10E0
2.02,CW0100,write,0x003,STATUS,direct,1515,0x00 0x04 0x18 0x19 0x1B 0x1C 0x1D 0x1F 0x38 0x39 0x3A 0x3B 0x3C 0x3D 0x3E 0x3F 0x58 0x59 0x5B 0x5C 0x5F 0x78 0x79 0x7B 0x7C 0x7D 0x7F,0x0006 0x0017 0x0018 0x0038 0x07D7 0x07D9 0x07DA 0x07DC 0x07DD 0x07DF 0x07E2 0x07E4 0x07E5 0x07E9 0x08B0 0x08BD 0x08C1 0x08C8 0x08D1 0x08D7 0x08DB 0x08DE 0x08E9 0x08EC 0x08F7 0x10A6 0x10A9 0x10AA 0x10AC 0x10AD 0x10AF 0x10B2 0x10B3 0x10B7 0x10B8 0x10C2 0x10C3 0x10C5 0x10C9 0x10CA 0x10CC 0x10CD 0x10CF 0x10D2 0x10D3 0x10D7 0x10D8 0x10E2 0x10E3 0x10EA
2.02,CW0100,write,0x004,FSR,direct,75,0x8C 0xA7,0x001E 0x0024 0x002A
2.02,CW0100,write,0x00A,PCLATH,direct,372,0x00 0x02 0x0A 0x12 0x1A,0x000A 0x0036 0x0042 0x0043 0x01EB 0x01EC 0x08BC 0x08BF 0x08DA 0x08DD 0x08E8 0x08EB 0x08F6 0x08F9 0x10A1 0x10A2 0x10A4 0x10A5 0x10E5 0x10E6 0x10E8 0x10E9
2.02,CW0100,write,0x00B,INTCON,direct,4,0x54 0xD4,0x10B6 0x10C4 0x10D6 0x10E4
2.02,CW0100,write,0x00C,PIR1,direct,25,0x58,0x01EA
2.02,CW0100,write,0x020,RAM_0x020,direct,25,0x02 0x0A 0x12,0x0009
2.02,CW0100,write,0x021,RAM_0x021,direct,25,0x81 0x83 0x93 0xA3 0xB1 0xB3 0xB5 0xC3 0xD3 0xF3 0xF5,0x0007
2.02,CW0100,write,0x022,RAM_0x022,direct,25,0xA7,0x000C
2.02,CW0100,write,0x023,RAM_0x023,direct,25,0x20,0x000E
2.02,CW0100,write,0x024,RAM_0x024,direct,25,0x00 0x09 0x12 0x30 0x31 0x42 0x45 0x4D 0x50 0x56 0x58 0x5F 0x6C 0x75 0x7E 0x87 0x94 0xC2 0xCB 0xD8 0xE1 0xEA 0xF3,0x0010
2.02,CW0100,write,0x025,RAM_0x025,direct,25,0x11,0x0012
2.02,CW0100,write,0x026,RAM_0x026,direct,25,0x00,0x0014
2.02,CW0100,write,0x027,RAM_0x027,direct,25,0x00,0x0016
2.02,CW0100,write,0x031,RAM_0x031,direct,25,0x92 0x93 0x94 0x95 0x96 0x97 0x98 0x99 0x9A 0x9B 0x9C 0x9D 0x9E 0x9F 0xA0 0xA1 0xA2 0xA3 0xA4 0xA5 0xA6 0xA7 0xA8 0xA9 0xAA,0x01DB
2.02,CW0100,write,0x038,RAM_0x038,direct,25,0x00,0x01E5
2.02,CW0100,write,0x077,RAM_0x077,direct,27,0x20 0xD4,0x002C 0x10B5 0x10D5
2.02,CW0100,write,0x078,RAM_0x078,direct,132,0x00 0x03 0x04 0x06 0x09 0x0C 0x0F 0x12 0x15 0x18 0x20 0x22 0x25 0x28 0x2B 0x2D 0x2E 0x30 0x31 0x32 0x34 0x37 0x3A 0x3D 0x41 0x42 0x45 0x46 0x47 0x49 0x4A 0x4C 0x4D 0x4E 0x4F 0x50 0x52 0x53 0x55 0x56 0x58 0x59 0x5C 0x5F 0x62 0x69 0x6C 0x6F 0x72 0x75 0x78 0x7B 0x7E 0x81 0x84 0x87 0x8E 0x91 0x94 0x97 0x9A 0x9D 0xA0 0xA3 0xA6 0xA9 0xB3 0xB5 0xB6 0xB9 0xBC 0xBF 0xC2 0xC5 0xC8 0xCB 0xCE 0xD8 0xDB 0xDE 0xE1 0xE4 0xE7 0xEA 0xED 0xF0 0xF3 0xFD,0x002E 0x07E8
2.02,CW0100,write,0x079,RAM_0x079,direct,25,0x11,0x0030
2.02,CW0100,write,0x07A,RAM_0x07A,direct,25,0x00,0x0032
2.02,CW0100,write,0x07B,RAM_0x07B,direct,25,0x00,0x0034
2.02,CW0100,write,0x07E,RAM_0x07E,direct,4,0x0F,0x08D3 0x08D4 0x08D5 0x08D6
2.02,CW0100,write,0x07F,RAM_0x07F,direct,50,0x00 0x01 0x04 0x10 0x11 0x15 0x1E 0x22 0x33 0x37 0x3A 0x40 0x44 0x45 0x4B 0x4D 0x51 0x54 0x55 0x56 0x58 0x59 0x65 0x66 0x6C 0x73 0x85 0x95 0xA3 0xB4 0xBC 0xC6 0xCB 0xD4 0xE1,0x0004 0x0039
2.02,CW0100,write,0x0C3,RAM_0x0C3,direct,313,0x00 0x03 0x04 0x05 0x06 0x07 0x08 0x09 0x0A 0x0E 0x10 0x11 0x14 0x15 0x17 0x1C 0x20 0x23 0x24 0x25 0x26 0x28 0x29 0x2A 0x2B 0x2E 0x31 0x32 0x33 0x35 0x36 0x38 0x39 0x3A 0x3B 0x3D 0x3E 0x40 0x41 0x43 0x45 0x46 0x48 0x4A 0x4C 0x4D 0x4E 0x52 0x53 0x56 0x57 0x58 0x59 0x5A 0x5B 0x5C 0x60 0x61 0x62 0x63 0x64 0x65 0x66 0x68 0x6A 0x6B 0x6C 0x6E 0x6F 0x72 0x73 0x74 0x75 0x76 0x7A 0x7B 0x7C 0x7D 0x7E 0x80 0x82 0x83 0x84 0x86 0x87 0x88 0x8A 0x8B 0x8C 0x8E 0x90 0x92 0x94 0x97 0x9A 0x9C 0x9D 0xA0 0xA1 0xA2 0xA3 0xA5 0xA6 0xA9 0xAA 0xAC 0xAD 0xAE 0xAF 0xB3 0xB4 0xB5 0xB7 0xB8 0xB9 0xBE 0xBF 0xC0 0xC1 0xC2 0xC3 0xC4 0xC6 0xC7 0xCC 0xCD 0xCE 0xCF 0xD0 0xD1 0xD2 0xD3 0xD5 0xD7 0xD8 0xD9 0xDA 0xDC 0xDE 0xDF 0xE2 0xE3 0xE6 0xE7 0xE8 0xE9 0xEA 0xEC 0xEF 0xF3 0xF4 0xF5 0xFA 0xFB,0x08B2 0x08C2 0x08C9 0x08CC
2.02,CW0100,write,0x0C4,RAM_0x0C4,direct,148,0x00 0x01 0x02 0x04 0x05 0x06 0x08 0x09 0x0A 0x0C 0x0D 0x12 0x15 0x16 0x17 0x18 0x1A 0x1B 0x1C 0x1F 0x20 0x24 0x25 0x29 0x2A 0x2E 0x2F 0x30 0x31 0x32 0x35 0x38 0x3A 0x3B 0x3F 0x40 0x41 0x42 0x4A 0x4B 0x4C 0x52 0x55 0x56 0x59 0x5A 0x5B 0x5C 0x5E 0x61 0x62 0x63 0x64 0x65 0x66 0x67 0x6A 0x6B 0x6C 0x6F 0x71 0x75 0x76 0x77 0x7A 0x80 0x83 0x84 0x86 0x8A 0x8B 0x8F 0x90 0x94 0x97 0x98 0x9C 0x9D 0xA5 0xAA 0xAB 0xAC 0xAD 0xAE 0xB1 0xB3 0xB4 0xB5 0xB7 0xB9 0xBA 0xBC 0xBD 0xC0 0xC1 0xC2 0xC3 0xC4 0xC5 0xC7 0xCA 0xCB 0xCE 0xD5 0xD6 0xD7 0xD8 0xD9 0xDA 0xDE 0xDF 0xE0 0xE3 0xEA 0xEB 0xEC 0xEE 0xEF 0xF5 0xF6,0x08B1 0x08C4 0x08CA
2.02,CW0100,write,0x0CE,RAM_0x0CE,direct,105,0x02 0x03 0x04 0x05 0x06 0x07 0x08 0x09 0x0A 0x0B 0x0C 0x0D 0x0E 0x0F 0x10 0x11 0x12 0x13 0x14 0x15 0x16 0x17 0x18 0x19 0x1A 0x1B 0x1C 0x1D 0x1E 0x1F 0x20 0x21 0x22 0x23 0x24 0x25 0x26 0x27 0x28 0x29 0x2A 0x2B 0x2C 0x2D 0x2E 0x2F 0x30 0x31 0x32 0x33 0x34 0x35 0x36 0x37 0x38 0x39 0x3A 0x3B 0x3C 0x3D 0x3E 0x3F 0x40 0x41 0x42 0x43 0x44 0x45 0x46 0x47 0x48 0x49 0x4A 0x4B 0x4C 0x4D 0x4E 0x4F 0x50 0x51 0x52 0x53 0x54 0x55 0x56 0x57 0x58 0x59 0x5A 0x5B 0x5C 0x5D 0x5E 0x5F 0x60 0x61 0x62 0x63 0x64 0x65 0x66 0x67 0x68 0x69 0x6A,0x08B4 0x08CF
2.02,CW0100,write,0x0CF,RAM_0x0CF,direct,151,0x00 0x01,0x08C5 0x08C7
2.02,CW0100,write,0x0D0,RAM_0x0D0,direct,107,0x00,0x08B9 0x08D8 0x08E5 0x08F3
