version,port,bit,direction,tris,output_latch
2.71,PORTB,0,input,0xD1,0x00
2.71,PORTB,1,output,0xD1,0x00
2.71,PORTB,2,output,0xD1,0x00
2.71,PORTB,3,output,0xD1,0x00
2.71,PORTB,4,input,0xD1,0x00
2.71,PORTB,5,output,0xD1,0x00
2.71,PORTB,6,input,0xD1,0x00
2.71,PORTB,7,input,0xD1,0x00
2.71,PORTC,0,output,0x80,0x24
2.71,PORTC,1,output,0x80,0x24
2.71,PORTC,2,output,0x80,0x24
2.71,PORTC,3,output,0x80,0x24
2.71,PORTC,4,output,0x80,0x24
2.71,PORTC,5,output,0x80,0x24
2.71,PORTC,6,output,0x80,0x24
2.71,PORTC,7,input,0x80,0x24
2.71,PORTD,0,input,0x1B,0x04
2.71,PORTD,1,input,0x1B,0x04
2.71,PORTD,2,output,0x1B,0x04
2.71,PORTD,3,input,0x1B,0x04
2.71,PORTD,4,input,0x1B,0x04
2.71,PORTD,5,output,0x1B,0x04
2.71,PORTD,6,output,0x1B,0x04
2.71,PORTD,7,output,0x1B,0x04
2.71,PORTE,0,input,0x03,0x04
2.71,PORTE,1,input,0x03,0x04
2.71,PORTE,2,output,0x03,0x04
2.71,PORTE,3,output,0x03,0x04
2.71,PORTE,4,output,0x03,0x04
2.71,PORTE,5,output,0x03,0x04
2.71,PORTE,6,output,0x03,0x04
2.71,PORTE,7,output,0x03,0x04
