version,table,index,symbol,section_offset,type,label,units_or_description,value_or_default,unit,address,address_hex,maximum,minimum,length_or_mask,display_mode
5.5.00,utility,0,Bixby110UtilityWindowData,0x4220,1,Flue Monitor,,0,,0,0x00,0,0,1,2
5.5.00,utility,1,Bixby110UtilityWindowData,0x4278,1,Fuel A Data,,0,,0,0x00,0,0,1,2
5.5.00,utility,2,Bixby110UtilityWindowData,0x42D0,1,Fuel B Data,,0,,0,0x00,0,0,1,2
5.5.00,utility,3,Bixby110UtilityWindowData,0x4328,1,Telemetry,,0,,0,0x00,0,0,1,2
5.5.00,remote_buttons,0,Bixby110RCButtonData,0x4380,1,Off,,17,,0,0x00,0,0,1,2
5.5.00,remote_buttons,1,Bixby110RCButtonData,0x43D8,1,On,,18,,0,0x00,0,0,1,2
5.5.00,remote_buttons,2,Bixby110RCButtonData,0x4430,1,Up,,20,,0,0x00,0,0,1,2
5.5.00,remote_buttons,3,Bixby110RCButtonData,0x4488,1,Down,,24,,0,0x00,0,0,1,2
5.5.00,feedwheel_settings,0,Bixby110FeedwheelSettingData,0x44E0,1,Regular wheel; 4.0 ci,,0,,0,0x00,0,0,1,4
5.5.00,feedwheel_settings,1,Bixby110FeedwheelSettingData,0x4538,1,Beveled wheel; 5.3 ci,,0,,0,0x00,0,0,1,4
5.5.00,fan_curve_settings,0,Bixby110FancurveSettingData,0x45A0,1,High output fan,,0,,0,0x00,0,0,1,4
5.5.00,fan_curve_settings,1,Bixby110FancurveSettingData,0x45F8,1,Regular fan,,0,,0,0x00,0,0,1,4
5.5.00,fuel_settings,0,Bixby110FueltypeSettingData,0x4660,1,Corn,,0,,0,0x00,0,0,1,4
5.5.00,fuel_settings,1,Bixby110FueltypeSettingData,0x46B8,1,5% ash Biomass,,0,,0,0x00,0,0,1,4
5.5.00,fuel_settings,2,Bixby110FueltypeSettingData,0x4710,1,2% ash Biomass,,0,,0,0x00,0,0,1,4
5.5.00,fuel_settings,3,Bixby110FueltypeSettingData,0x4768,1,Wood - Lean,,0,,0,0x00,0,0,1,4
5.5.00,fuel_settings,4,Bixby110FueltypeSettingData,0x47C0,1,Wood - Rich,,0,,0,0x00,0,0,1,4
5.5.00,fuel_settings,5,Bixby110FueltypeSettingData,0x4818,1,Corn,,0,,0,0x00,0,0,1,4
5.5.00,fuel_settings,6,Bixby110FueltypeSettingData,0x4870,1,5% ash Biomass,,0,,0,0x00,0,0,1,4
5.5.00,fuel_settings,7,Bixby110FueltypeSettingData,0x48C8,1,2% ash Biomass,,0,,0,0x00,0,0,1,4
5.5.00,fuel_settings,8,Bixby110FueltypeSettingData,0x4920,1,Wood - Lean,,0,,0,0x00,0,0,1,4
5.5.00,fuel_settings,9,Bixby110FueltypeSettingData,0x4978,1,Wood - Rich,,0,,0,0x00,0,0,1,4
5.5.00,altitude_settings,0,Bixby110AltitudeSettingData,0x49E0,1,Low altitude,,0,,0,0x00,0,0,1,4
5.5.00,altitude_settings,1,Bixby110AltitudeSettingData,0x4A38,1,Medium altitude,,0,,0,0x00,0,0,1,4
5.5.00,altitude_settings,2,Bixby110AltitudeSettingData,0x4A90,1,High altitude,,0,,0,0x00,0,0,1,4
5.5.00,model_settings,0,Bixby110ModelSettingData,0x4B00,1,Bixby Model 115,,0,,0,0x00,0,0,1,4
5.5.00,model_settings,1,Bixby110ModelSettingData,0x4B58,1,Bixby Model 110,,0,,0,0x00,0,0,1,4
5.5.00,test_settings,0,Bixby110TestData,0x4BC0,1,Data Out,,0,,0,0x00,0,0,1,3
5.5.00,test_settings,1,Bixby110TestData,0x4C18,1,Data In,,0,,0,0x00,0,0,1,3
5.5.00,test_settings,2,Bixby110TestData,0x4C70,1,Status,,0,,0,0x00,0,0,1,3
5.5.00,individualization,0,Bixby110IndividualizationData,0x6920,6,Stove software version,,0,C,11,0x0B,0,0,2,1
5.5.00,individualization,1,Bixby110IndividualizationData,0x6978,3,Stove checksum,,0,A,0,0x00,0,0,2,3
5.5.00,individualization,2,Bixby110IndividualizationData,0x69D0,3,BixCheck checksum,,0,,0,0x00,0,0,2,3
5.5.00,individualization,3,Bixby110IndividualizationData,0x6A28,1,Stove data format,,0,C,8,0x08,0,0,1,1
5.5.00,individualization,4,Bixby110IndividualizationData,0x6A80,1,BixCheck data format,,0,A,2,0x02,0,0,1,1
5.5.00,individualization,5,Bixby110IndividualizationData,0x6AD8,7,Serial number,,0,A,3,0x03,0,0,8,2
5.5.00,individualization,6,Bixby110IndividualizationData,0x6B30,7,Production date,,0,A,11,0x0B,0,0,8,2
5.5.00,individualization,7,Bixby110IndividualizationData,0x6B88,7,Model name,,0,A,19,0x13,0,0,16,2
5.5.00,individualization,8,Bixby110IndividualizationData,0x6BE0,1,Spare,,0,A,35,0x23,0,0,13,1
5.5.00,adjustment_descriptions,0,Bixby110AdjustmentDescriptions,0x6C40,1,Fan,,0,X,0,0x00,0,0,1,1
5.5.00,adjustment_descriptions,1,Bixby110AdjustmentDescriptions,0x6C98,1,Fuel A,,0,X,0,0x00,0,0,1,1
5.5.00,adjustment_descriptions,2,Bixby110AdjustmentDescriptions,0x6CF0,1,Fuel B,,0,X,0,0x00,0,0,1,1
