version,file_offset,matched_terms,string
5.5.00,0x00067EFD,checkout,__ZN16bixby110checkout14GenerateReportEv
5.5.00,0x00067F26,checkout,__ZN16bixby110checkout18Bixby110UpdateDataEv
5.5.00,0x00067F53,checkout,__ZN16bixby110checkout37Bixby110SetupCheckoutInteractiveTestsEiiii
5.5.00,0x00067F96,checkout,__ZN16bixby110checkout35Bixby110SetupCheckoutAutomaticTestsEiiii
5.5.00,0x00067FD7,checkout,__ZN16bixby110checkout42Bixby110SetupCheckoutIndividualizationDataEiiii
5.5.00,0x0006801F,checkout,__ZN16bixby110checkout16Bixby110CheckoutEP11HINSTANCE__ih
5.5.00,0x00068059,checkout,__ZN16bixby110checkout22AnalyzeAutomaticResultEi
5.5.00,0x00068621,checksum,__ZN10bixby110io17CalculateChecksumEh
5.5.00,0x00068678,telemetry,__GLOBAL__I_Bixby110TelemetryData
5.5.00,0x0006869A,telemetry,__GLOBAL__D_Bixby110TelemetryData
5.5.00,0x000686E8,checksum,_HELP_ADJUSTMENT_CHECKSUM
5.5.00,0x00068973,telemetry,_HELP_UTILITY_TELEMETRY
5.5.00,0x00068A36,telemetry,_HELP_WINDOW_TELEMETRY
5.5.00,0x00068F69,telemetry,__ZN15bixby110control28Bixby110DialogSetupTelemetryEiiii
5.5.00,0x00069251,downloader,__ZN18bixby110downloaderC2Ev
5.5.00,0x0006926E,downloader,__ZN18bixby110downloaderC1Ev
5.5.00,0x0006928B,downloader,__ZN18bixby110downloaderD2Ev
5.5.00,0x000692A8,downloader,__ZN18bixby110downloaderD1Ev
5.5.00,0x000692C5,downloader,__ZN18bixby110downloader2gxEc
5.5.00,0x000692E3,downloader,__ZN18bixby110downloader3g2xEPc
5.5.00,0x00069303,downloader,__ZN18bixby110downloader3g4xEPc
5.5.00,0x00069323,downloader,__ZN18bixby110downloader7getbyteEhPh
5.5.00,0x00069348,downloader,__ZN18bixby110downloader7getbyteEPh
5.5.00,0x0006936C,downloader,__ZN18bixby110downloader8sendbyteEc
5.5.00,0x00069390,downloader,__ZN18bixby110downloader15GetStoveVersionEv
5.5.00,0x000693BC,downloader,__ZN18bixby110downloader17AttemptStoveResetEv
5.5.00,0x000693EA,downloader,__ZN18bixby110downloader8SendDoneEv
5.5.00,0x00069427,downloader,__ZN18bixby110downloader12LoadHex_OpenEPc
5.5.00,0x00069451,downloader,__ZN18bixby110downloader12LoadHex_ReadEv
5.5.00,0x0006947A,downloader,__ZN18bixby110downloader13LoadHex_CloseEv
5.5.00,0x000694A4,downloader,__ZN18bixby110downloader7LoadHexEPc
5.5.00,0x000694C8,downloader,__ZN18bixby110downloader8DownLoadEv
5.5.00,0x000694EC,downloader,__ZN18bixby110downloader8IdentifyEv
5.5.00,0x00069510,downloader,__ZN18bixby110downloader18Bixby110DownloaderEP11HINSTANCE__iPch
5.5.00,0x00069550,downloader,__ZN18bixby110downloader13StatusMessageEPc
5.5.00,0x0006957B,downloader,Bixby110Downloader.cpp
5.5.00,0x0006FD9F,checkout,_Bixby110AutomaticCheckoutTests
5.5.00,0x00070063,telemetry,_Bixby110TelemetryData
5.5.00,0x000703E5,corn,_text_iburncorn
5.5.00,0x0007068A,checkout,_Bixby110InteractiveCheckoutTests
5.5.00,0x0007088E,checkout,_cp_checkout
