version,source,name,occurrence,section,section_offset,rva,va,size,instruction_count,raw_sha256,normalized_sha256
5.5.00,pseudo-reloc-list.c,_Unwind_GetLanguageSpecificData,0,1,0x00030990,0x00031990,0x00431990,16,8,7e21b3f1b13b05b013c519b4e9c1559c4d8baf8aa1110f8bdbc0ff84c0db9cdd,a1d35bde657b1e218e9680a1e190fe41380b9efb78b4563059f0d36350c1e8d9
5.5.00,pseudo-reloc-list.c,_Unwind_GetRegionStart,0,1,0x000309A0,0x000319A0,0x004319A0,16,7,7a85c7b09c6987c46ed3859a25d5eaa7cc2f188816a5b14adc9a53e088d7137a,13d9cec815e3f01c27efe9f1ed3c2c32de44ccccbaf2e08a6daa772ce09a5215
5.5.00,pseudo-reloc-list.c,_Unwind_FindEnclosingFunction,0,1,0x000309B0,0x000319B0,0x004319B0,16,7,7a85c7b09c6987c46ed3859a25d5eaa7cc2f188816a5b14adc9a53e088d7137a,13d9cec815e3f01c27efe9f1ed3c2c32de44ccccbaf2e08a6daa772ce09a5215
5.5.00,pseudo-reloc-list.c,_Unwind_GetDataRelBase,0,1,0x000309C0,0x000319C0,0x004319C0,16,7,7a85c7b09c6987c46ed3859a25d5eaa7cc2f188816a5b14adc9a53e088d7137a,13d9cec815e3f01c27efe9f1ed3c2c32de44ccccbaf2e08a6daa772ce09a5215
5.5.00,pseudo-reloc-list.c,_Unwind_GetTextRelBase,0,1,0x000309D0,0x000319D0,0x004319D0,16,7,7a85c7b09c6987c46ed3859a25d5eaa7cc2f188816a5b14adc9a53e088d7137a,13d9cec815e3f01c27efe9f1ed3c2c32de44ccccbaf2e08a6daa772ce09a5215
5.5.00,pseudo-reloc-list.c,_Unwind_RaiseException_Phase2,0,1,0x000309E0,0x000319E0,0x004319E0,144,66,0e346209546de106f6999f0844f8f6a8061d93168f2474e1b4cf7bfba346659e,a6a6698399a50f7de4226c326cedfdd2b3907f3dd4323f7dcce8ebb60e49ec19
5.5.00,pseudo-reloc-list.c,_Unwind_SjLj_RaiseException,0,1,0x00030A70,0x00031A70,0x00431A70,400,128,cf66f6374c69d9adcc6c4c0c9f1d52672ed6d8a26cf60b7a6df6c7f9dac43da2,9f2d9965939293efbc2f0c21fb3db37d6660406148ca3f7fd8142b090ab5f59a
5.5.00,pseudo-reloc-list.c,_Unwind_ForcedUnwind_Phase2,0,1,0x00030C00,0x00031C00,0x00431C00,240,87,afb7c4d4eb670cc054590aa079facdf22258f2b4968a3dfab17084cd94bae313,757389825d656def90f11786f4fc6ec60b196afdd5decda1a6b011ac2987f14c
5.5.00,pseudo-reloc-list.c,_Unwind_SjLj_ForcedUnwind,0,1,0x00030CF0,0x00031CF0,0x00431CF0,352,130,8da88b2c1a09653532c3a9c2cd63c94a80f226237d8abbc8b81fe9945eace7b1,2459179dea398e6cac273b14ba3f499caee714077b3b33486666ed7106c474de
5.5.00,pseudo-reloc-list.c,_Unwind_SjLj_Resume,0,1,0x00030E50,0x00031E50,0x00431E50,352,96,a11ca927e2411ff99e3b05c1bf591fe39063b7baeee319b7619ed0478e664678,8074fd473bd548f4df109a136f1aae254fd600a9ccd634d6416b43380e238f66
5.5.00,pseudo-reloc-list.c,_Unwind_SjLj_Resume_or_Rethrow,0,1,0x00030FB0,0x00031FB0,0x00431FB0,304,88,2d869f84938282e5908058afe51deb38299c6ddf6a1f760e0c922420e6480b1b,4feb92749ac03061d7ed7067e0062bf131a1b98cdbd07a9785454c1dd9e67a5d
