comparison,source_old,source_new,name,occurrence,status,old_va,new_va,old_size,new_size,old_normalized_sha256,new_normalized_sha256
5.0.21_to_5.5.00,Bixby110chkdlg.cpp,Bixby110chkdlg.cpp,bixby110checkout::SendInteractiveAction(int),0,same_normalized,0x00403070,0x00403070,512,512,825eb6f8b5231107baf76402c3e014ba722061014029fdcf37a1900d289ed824,825eb6f8b5231107baf76402c3e014ba722061014029fdcf37a1900d289ed824
5.0.21_to_5.5.00,Bixby110chkdlg.cpp,Bixby110chkdlg.cpp,bixby110checkout::bixby110checkout(),0,same_normalized,0x00401A60,0x00401A60,1552,1552,824e3fe991c53cb348d82f7dedc564908deb7bed5b7ee3e73f4391327c6ea32e,824e3fe991c53cb348d82f7dedc564908deb7bed5b7ee3e73f4391327c6ea32e
5.0.21_to_5.5.00,Bixby110chkdlg.cpp,Bixby110chkdlg.cpp,bixby110checkout::bixby110checkout(),1,same_normalized,0x00402070,0x00402070,1552,1552,824e3fe991c53cb348d82f7dedc564908deb7bed5b7ee3e73f4391327c6ea32e,824e3fe991c53cb348d82f7dedc564908deb7bed5b7ee3e73f4391327c6ea32e
5.0.21_to_5.5.00,Bixby110chkdlg.cpp,Bixby110chkdlg.cpp,"bixby110checkout::writeln(void*, char*)",0,same_normalized,0x00404400,0x00404480,64,64,540e284d78f3f8680248962074b80a33e838918cef7fd3648001daf285acce0c,540e284d78f3f8680248962074b80a33e838918cef7fd3648001daf285acce0c
5.0.21_to_5.5.00,Bixby110chkdlg.cpp,Bixby110chkdlg.cpp,bixby110checkout::~bixby110checkout(),0,same_normalized,0x00402680,0x00402680,1248,1248,c787e9a70c4f63c0c79dc0a06a768be816ec1a2a395070ce0e3385d5a773d7be,c787e9a70c4f63c0c79dc0a06a768be816ec1a2a395070ce0e3385d5a773d7be
5.0.21_to_5.5.00,Bixby110chkdlg.cpp,Bixby110chkdlg.cpp,bixby110checkout::~bixby110checkout(),1,same_normalized,0x00402B60,0x00402B60,1248,1248,c787e9a70c4f63c0c79dc0a06a768be816ec1a2a395070ce0e3385d5a773d7be,c787e9a70c4f63c0c79dc0a06a768be816ec1a2a395070ce0e3385d5a773d7be
5.0.21_to_5.5.00,Bixby110dlg.cpp,Bixby110dlg.cpp,bixby110control::AppendDataLogLine(char*),0,changed,0x0040F960,0x00411200,128,128,4bdc96482dd4b559e74af1001090143b9e5458beeb89b2e4c971312146f66a48,068b3a32ef142f680c3da3c7d02c2ba73270f2effd52456325f165e559fcc44b
5.0.21_to_5.5.00,,Bixby110dlg.cpp,"bixby110control::AppendDataLogLine(char*, unsigned char)",0,added,,0x00411190,,112,,1d78625fe12ad0e7ff29090e963192acf62a6b1e43d1aba68621216c4ca33403
5.0.21_to_5.5.00,Bixby110dlg.cpp,,"bixby110control::Bixby110Dialog(HINSTANCE__*, int, unsigned char)",0,removed,0x004160D0,,14864,,067d7ef1e8bb68294707d439943505ae900a46ee5a1d0e470d7ffb68cc49a825,
5.0.21_to_5.5.00,,Bixby110dlg.cpp,"bixby110control::Bixby110Dialog(HINSTANCE__*, int, unsigned char, unsigned char)",0,added,,0x00418020,,18448,,4eb1d2eccf8ce0de1ef62fa220114925cee6e1f70c7aea08305d46a9b98da1ad
5.0.21_to_5.5.00,Bixby110dlg.cpp,Bixby110dlg.cpp,"bixby110control::Bixby110DialogSetupButtons(int, int, int, int)",0,changed,0x00415B70,0x00417A50,768,768,d7734efe49525cf768362a287be552ef6de98fa5190571c0c58f96a6513f0b87,02f8612e8098590104b5da7fbf54c13e731f5597c79b3b75ba3ff2b82c069c6e
