version,source,name,occurrence,section,section_offset,rva,va,size,instruction_count,raw_sha256,normalized_sha256
5.5.01,crt1.c,_gnu_exception_handler@4,0,1,0x00000000,0x00001000,0x00401000,336,92,f186f2e19a42d5a87772dcf368e9a32817c4142826dd300c49fc3a2ca9e2d0b1,ef3934e7fb8c841fe579b29fcca73afa5f9368e0b39697ab02bf707c57a17520
5.5.01,crt1.c,__mingw_CRTStartup,0,1,0x00000150,0x00001150,0x00401150,288,69,559ebce6264eff516deab0d4b63035120b669164984252b783bbbde805e262d5,40db609dfb6ac73c5190e11792bf77b1f647c7dd0b74613bae4a8168f301ebd4
5.5.01,crt1.c,mainCRTStartup,0,1,0x00000270,0x00001270,0x00401270,32,8,82c0b02b14273fee489bcd6a331dc20e6e1aca2fbb69c1ea209bbda3072b4c95,eb6a1ccfd9d2322b784fb1f68e0a291068504e79e45bec421e814643901bba9b
5.5.01,crt1.c,WinMainCRTStartup,0,1,0x00000290,0x00001290,0x00401290,32,8,601e6cb50e4aaa4502201ed6908aa0356f8dcb8cb102da3c579b1d5cf0947245,b4f4551845c10fd1383485881daaa97e6eb23de0c98b6774b9e93b66c7d3735f
5.5.01,crt1.c,atexit,0,1,0x000002B0,0x000012B0,0x004012B0,16,6,c093c216cc301d3839067a74010d6cc406e314515aa763f0d9f1c8a780e7ce51,2ee47750e2d1b312b324a603442bff10cf13e5bdf0cc491a22bbba93ad55d89c
5.5.01,crt1.c,_onexit,0,1,0x000002C0,0x000012C0,0x004012C0,16,9,e887fdc94b7c14a18d0880b6c5341c68bd4fea225060636a371e49b01bb013ab,2a2fc2d9502d2f434002421a225939e878ebf1e2317d3064fec0f3c3af5d4444
5.5.01,crtstuff.c,__do_sjlj_init,0,1,0x000002D0,0x000012D0,0x004012D0,16,11,a58fe2736af6a72c636930bc3e3e793d05ce469aeabbc5b9671c93f15b244e8b,76d726ed3c25d66696d71609ec733fc3dfe73bc7a6f768a36b5619eebd5dcd68
5.5.01,async.cpp,async::set_timeout(long),0,1,0x000002E0,0x000012E0,0x004012E0,80,23,d45a3ac2ba4f5ea23c4ea00bb22423218cd703eab4bc60db3606458491d2c0d6,6bf3f5e535c98f072530faf01588becf48c852f9a9305c119809d586586f5b10
5.5.01,async.cpp,"async::async(int, long, long, int, int)",0,1,0x00000330,0x00001330,0x00401330,496,146,b7cdc01c14dcd01fb4f9c5d16e93408762da78090c1591442dadf5f6692ef82a,a9f5b7386459727f37f3b1020ae2218441baa6c289ad317cd221a858aa8faf98
5.5.01,async.cpp,"async::async(int, long, long, int, int)",1,1,0x00000520,0x00001520,0x00401520,496,146,fc824b07aed2f2086a2d6203dc79e271f2a93c401c61fe838f86ab4be45b3028,a9f5b7386459727f37f3b1020ae2218441baa6c289ad317cd221a858aa8faf98
5.5.01,async.cpp,async::~async(),0,1,0x00000710,0x00001710,0x00401710,64,26,adb5c9b60e04df896ab8f15109460972a9cf4845d3071ee5fd77071660aabff8,d1f3615b1ac1b8698b60280e314b60811c053a1c69ffeac4e4d4a8be77ac1be7
5.5.01,async.cpp,async::~async(),1,1,0x00000750,0x00001750,0x00401750,64,26,3d20f9162da4f0951bbbdaccfcd5495fc5e9a7ce331d35a58dee4a4abad70700,d1f3615b1ac1b8698b60280e314b60811c053a1c69ffeac4e4d4a8be77ac1be7
5.5.01,async.cpp,async::close(),0,1,0x00000790,0x00001790,0x00401790,48,17,c03f99fa9ae33e989ab2571fa5041e944c0fdfdba96648f7a3391bef8261099e,71fe8d1732a08d5a649749868bc8ef5f61c6c46b11776b2118972de03da8c97d
5.5.01,async.cpp,async::flush_buffer(),0,1,0x000007C0,0x000017C0,0x004017C0,48,16,d2acb1321896aeb38cabf9af2701587ac5041486dc57e31f6048c2233e8f9e21,9d61d2942724d27f6f2054ab69322b24a090b7b81428cd514b59145481011b38
