version,file_offset,matched_terms,string
5.5.01,0x00037C01,exhaust fan,Exhaust fan full power
5.5.01,0x00037C21,exhaust fan,Testing the exhaust fan at full power
5.5.01,0x00037D23,exhaust fan,Exhaust fan 1/2 power
5.5.01,0x00037D43,exhaust fan,Testing the exhaust fan at half power
5.5.01,0x00037E45,exhaust fan,Exhaust fan off
5.5.01,0x00037E65,exhaust fan,Testing the exhaust fan off
5.5.01,0x00037F67,igniter,'1' side igniter test
5.5.01,0x00037F87,igniter,Testing the igniters
5.5.01,0x00038007,igniter,Igniter connections; fuse; igniter
5.5.01,0x00038089,igniter,'2' side igniter test
5.5.01,0x000380A9,igniter,Testing the igniters
5.5.01,0x00038129,igniter,Igniter connections; fuse; igniter
5.5.01,0x000381AB,igniter,'1' side igniter check
5.5.01,0x000381CB,igniter,Checking the igniters
5.5.01,0x0003824B,igniter,Igniter connections; fuse; igniter
5.5.01,0x000382CD,igniter,'2' side igniter check
5.5.01,0x000382ED,igniter,Checking the igniters
5.5.01,0x0003836D,igniter,Igniter connections; fuse; igniter
5.5.01,0x00038511,plate motor,Plate motor cycle test
5.5.01,0x00038531,plate motor,Testing the plate motor
5.5.01,0x000385B1,plate motor,Plate motor
5.5.01,0x000392B7,plate motor,Plate motor on
5.5.01,0x000392D7,plate motor,Is the plate motor running?
5.5.01,0x000393D9,plate motor,Plate motor off
5.5.01,0x000393F9,plate motor,Wait for the plate motor to turn off
5.5.01,0x00039EAB,igniter,Igniter board wiring
5.5.01,0x0003AA81,wood,Fuel select switch wood / B
5.5.01,0x0003AAA1,wood,Switch to wood / setting B
5.5.01,0x0003ABA3,corn,Fuel select switch corn / A
5.5.01,0x0003ABC3,corn,Switch to corn / setting A
5.5.01,0x0003AE03,checksum,Checksum verified
5.5.01,0x0003AE23,checksum,Calculating checksum
5.5.01,0x0003AEA3,checksum,Return to Monitor and recalculate checksum
5.5.01,0x0003AF25,data format,Data format matched
5.5.01,0x0003AF45,data format,Checking data format
5.5.01,0x0003AFC5,data format,Set the correct software version data format
5.5.01,0x0003BF29,telemetry,Telemetry
5.5.01,0x0003C2B9,biomass,5% ash Biomass
5.5.01,0x0003C311,wheat,Wheat
5.5.01,0x0003C369,wood,Wood - Lean
5.5.01,0x0003C3C1,wood,Wood - Rich
5.5.01,0x0003C471,biomass,5% ash Biomass
5.5.01,0x0003C4C9,wheat,Wheat
5.5.01,0x0003C521,wood,Wood - Lean
5.5.01,0x0003C579,wood,Wood - Rich
5.5.01,0x0003D229,igniter,Igniter time %
5.5.01,0x0003E041,igniter,Igniter time %
5.5.01,0x0003E521,stove software,Stove software version
5.5.01,0x0003E579,checksum,Stove checksum
5.5.01,0x0003E5D1,bixcheck;checksum,BixCheck checksum
5.5.01,0x0003E629,data format,Stove data format
5.5.01,0x0003E681,bixcheck;data format,BixCheck data format
5.5.01,0x0003E6D9,serial,Serial number
5.5.01,0x0003EE81,exhaust fan,Exhaust fan speed
