version,file_offset,matched_terms,string
5.0.21,0x00034601,exhaust fan,Exhaust fan full power
5.0.21,0x00034621,exhaust fan,Testing the exhaust fan at full power
5.0.21,0x00034723,exhaust fan,Exhaust fan 1/2 power
5.0.21,0x00034743,exhaust fan,Testing the exhaust fan at half power
5.0.21,0x00034845,exhaust fan,Exhaust fan off
5.0.21,0x00034865,exhaust fan,Testing the exhaust fan off
5.0.21,0x00034967,igniter,'1' side igniter test
5.0.21,0x00034987,igniter,Testing the igniters
5.0.21,0x00034A07,igniter,Igniter connections; fuse; igniter
5.0.21,0x00034A89,igniter,'2' side igniter test
5.0.21,0x00034AA9,igniter,Testing the igniters
5.0.21,0x00034B29,igniter,Igniter connections; fuse; igniter
5.0.21,0x00034BAB,igniter,'1' side igniter check
5.0.21,0x00034BCB,igniter,Checking the igniters
5.0.21,0x00034C4B,igniter,Igniter connections; fuse; igniter
5.0.21,0x00034CCD,igniter,'2' side igniter check
5.0.21,0x00034CED,igniter,Checking the igniters
5.0.21,0x00034D6D,igniter,Igniter connections; fuse; igniter
5.0.21,0x00034F11,plate motor,Plate motor cycle test
5.0.21,0x00034F31,plate motor,Testing the plate motor
5.0.21,0x00034FB1,plate motor,Plate motor
5.0.21,0x00035CB7,plate motor,Plate motor on
5.0.21,0x00035CD7,plate motor,Is the plate motor running?
5.0.21,0x00035DD9,plate motor,Plate motor off
5.0.21,0x00035DF9,plate motor,Wait for the plate motor to turn off
5.0.21,0x000368AB,igniter,Igniter board wiring
5.0.21,0x00037481,wood,Fuel select switch wood / B
5.0.21,0x000374A1,wood,Switch to wood / setting B
5.0.21,0x000375A3,corn,Fuel select switch corn / A
5.0.21,0x000375C3,corn,Switch to corn / setting A
5.0.21,0x00037803,checksum,Checksum verified
5.0.21,0x00037823,checksum,Calculating checksum
5.0.21,0x000378A3,checksum,Return to Monitor and recalculate checksum
5.0.21,0x00037925,data format,Data format matched
5.0.21,0x00037945,data format,Checking data format
5.0.21,0x000379C5,data format,Set the correct software version data format
5.0.21,0x00038929,telemetry,Telemetry
5.0.21,0x00038CB9,biomass,5% ash Biomass
5.0.21,0x00038D11,biomass,2% ash Biomass
5.0.21,0x00038D69,wood,Wood - Lean
5.0.21,0x00038DC1,wood,Wood - Rich
5.0.21,0x00038E71,biomass,5% ash Biomass
5.0.21,0x00038EC9,biomass,2% ash Biomass
5.0.21,0x00038F21,wood,Wood - Lean
5.0.21,0x00038F79,wood,Wood - Rich
5.0.21,0x00039C29,igniter,Igniter time %
5.0.21,0x0003A831,igniter,Igniter time %
5.0.21,0x0003ABB9,checksum,Internal checksum
5.0.21,0x0003AC11,checksum,Calculated checksum
5.0.21,0x0003AC69,data format,Internal data format
5.0.21,0x0003ACC1,data format,Calculated data format
5.0.21,0x0003AD19,serial,Serial number
5.0.21,0x0003B4C1,exhaust fan,Exhaust fan speed
5.0.21,0x0003B519,exhaust fan,Exhaust fan phase
5.0.21,0x0003B621,igniter,Igniter state
5.0.21,0x0003B641,igniter,"Igniter code, Igniter state"
5.0.21,0x0003BA41,igniter,Igniter current
5.0.21,0x0003BA61,igniter,Igniter current
5.0.21,0x0003BB49,exhaust fan,Exhaust fan target
5.0.21,0x0003BD01,telemetry,Telemetry Mode
5.0.21,0x0003C206,serial,Serial port open failed
5.0.21,0x0003C498,checkout,Waiting after checkout mode off: %d
5.0.21,0x0003C544,checkout,The checkout file:
5.0.21,0x0003C57C,checkout,Checkout File Save
5.0.21,0x0003C5D3,checksum,Checksum: %04x
5.0.21,0x0003C5E4,data format,Data Format: %02x
5.0.21,0x0003C5F8,serial,Serial Number: %s
5.0.21,0x0003C774,checkout,COM %d: Bixby Energy 110 / 115 Checkout 5.0.21
5.0.21,0x0003C83F,checkout,Bixby110Checkout
5.0.21,0x0003C86C,checksum,Internal checksum: %x  Calculated checksum: %x
5.0.21,0x0003C89C,checksum,Checksum problem. Check in the Monitor
5.0.21,0x0003C8F0,data format,Data format problem. Check in the Monitor
5.0.21,0x0003CAB0,checksum,These show the checksum information.
5.0.21,0x0003CAF0,serial,"These parameters set up the serial number, model name, "
5.0.21,0x0003CE6B,telemetry,with the check boxes in the Telemetry window.
5.0.21,0x0003D5DE,igniter,processes. The Igniter on time is adjusted to a 
5.0.21,0x0003D63F,igniter,"parameter. For instance, if the default igniter on time "
5.0.21,0x0003D678,igniter,"is 3 minutes and this parameter is 150, then the igniter "
5.0.21,0x0003D79E,corn,"feed. If the value for corn was 16, then the ash dump "
5.0.21,0x0003D80E,corn,corresponds to an ash content of around 1% for corn. For 
5.0.21,0x0003DB10,telemetry,This turns telemetry data transmission from the stove on 
5.0.21,0x0003DB4A,telemetry,or off. The stove will send telemetry data for a time 
5.0.21,0x0003DC10,exhaust fan,Adjusts the fan table to compensate for the exhaust fan type. 
5.0.21,0x0003DE46,checkout,the Checkout program.
5.0.21,0x0003DE70,telemetry,This window displays telemetry data from the stove. 
5.0.21,0x0003E1D5,telemetry,About telemetry data
5.0.21,0x0003E2F6,checksum,About checksum data
5.0.21,0x0003E6D4,serial,Serial Number: 
